Paris - Charles-De-Gaulles;CDG;PG;402;2;
Paris - Orly;ORY;PO;401;2;
Nice;NCE;MN;440;1;
Lyon - Saint-Exupery;LYS;LL;279;1;
Marseille - Provence;MRS;ML;494;1;
Toulouse - Blagnac;TLS;BO;651;1;
Bordeaux - Merlignac;BOD;BD;704;1;
Nantes - Atlantique;NTE;RS;690;2;
Paris - Beauvais;BVA;OB;449;2;
Lilles - Lesquin;LIL;QQ;461;0;
Montpellier - Mediterranee;MPL;MT;525;1;
Ajaccio - Napoleon-Bonaparte;AJA;KJ;640;1;
Bastia - Poretta;BIA;KB;582;1;
Strasbourg;SXB;ST;106;0;
Brest - Bretagne;BES;RB;894;2;
Biarritz - Pays-Basque;BIQ;BZ;842;1;
Rennes - Saint-Jacques;RNS;RN;694;2;
Figari - Sud-Corse;PSC;XP;689;1;
Pau - Pyrenees;PUF;BP;777;1;
Toulon - Hyeres;TLN;TH;511;1;